,Team,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,xG,xGA,Poss,KP,1/3,PPA,CrsPA,Prog,Att 3rd,Att Pen,SCA,TB,Season,Points,Points per match,PrgP,PrgC
11,Chelsea,12.657894736842104,3.973684210526316,16.80263157894737,0.2631578947368421,0.07894736842105263,0.07894736842105263,1.0,1.236842105263158,1.305263157894737,1.3789473684210531,58.6578947368421,9.894736842105264,37.526315789473685,9.736842105263158,1.7894736842105263,0.0,180.26315789473685,25.210526315789473,22.605263157894736,1.5263157894736843,2022,44,1.1578947368421053,45.71052631578947,21.81578947368421
12,Wolverhampton Wanderers,10.763157894736842,3.1315789473684212,17.72105263157895,0.47368421052631576,0.07894736842105263,0.07894736842105263,0.8157894736842105,1.5263157894736843,0.976315789473684,1.5894736842105264,49.94736842105263,7.7368421052631575,29.210526315789473,6.631578947368421,1.868421052631579,0.0,130.52631578947367,18.05263157894737,18.763157894736842,1.2894736842105263,2022,41,1.0789473684210527,35.3421052631579,16.05263157894737
13,West Ham United,12.263157894736842,3.5,17.271052631578954,0.34210526315789475,0.15789473684210525,0.21052631578947367,1.105263157894737,1.4473684210526316,1.2947368421052632,1.394736842105263,42.10526315789474,8.947368421052632,26.05263157894737,5.578947368421052,2.1052631578947367,0.0,131.39473684210526,19.894736842105264,21.5,1.0789473684210527,2022,40,1.0526315789473684,33.526315789473685,16.18421052631579
14,Bournemouth,9.421052631578947,3.3157894736842106,15.536842105263156,0.3684210526315789,0.0,0.0,0.9736842105263158,1.868421052631579,1.0052631578947366,1.6736842105263157,40.421052631578945,6.868421052631579,22.36842105263158,6.2368421052631575,1.9736842105263157,0.0,112.0,18.394736842105264,16.210526315789473,1.263157894736842,2022,39,1.0263157894736843,26.473684210526315,13.263157894736842
15,Nottingham Forest,9.526315789473685,2.9210526315789473,17.047368421052635,0.23684210526315788,0.07894736842105263,0.15789473684210525,1.0,1.7894736842105263,1.039473684210526,1.6894736842105265,37.60526315789474,6.473684210526316,17.36842105263158,4.526315789473684,1.3157894736842106,0.0,98.8157894736842,16.07894736842105,15.605263157894736,0.8157894736842105,2022,38,1.0,22.605263157894736,11.473684210526315
16,Everton,11.210526315789474,3.763157894736842,16.52631578947368,0.3157894736842105,0.07894736842105263,0.07894736842105263,0.8947368421052632,1.5,1.1921052631578946,1.7236842105263155,42.76315789473684,8.105263157894736,25.36842105263158,5.894736842105263,1.763157894736842,0.0,127.10526315789474,19.526315789473685,19.342105263157894,1.0263157894736843,2022,36,0.9473684210526315,27.68421052631579,13.157894736842104
17,Leicester City,10.842105263157896,3.736842105263158,17.355263157894736,0.3684210526315789,0.07894736842105263,0.15789473684210525,1.3421052631578947,1.7894736842105263,1.3263157894736841,1.6657894736842107,47.71052631578947,8.394736842105264,30.05263157894737,5.7894736842105265,1.368421052631579,0.0,122.13157894736842,18.105263157894736,19.57894736842105,2.0,2022,34,0.8947368421052632,34.31578947368421,15.263157894736842
18,Leeds United,12.078947368421053,3.710526315789474,16.66578947368421,0.5,0.02631578947368421,0.07894736842105263,1.263157894736842,2.0526315789473686,1.2473684210526317,1.763157894736842,46.973684210526315,8.868421052631579,28.57894736842105,7.105263157894737,1.8421052631578947,0.0,147.02631578947367,20.94736842105263,20.605263157894736,1.0789473684210527,2022,31,0.8157894736842105,37.60526315789474,14.605263157894736
19,Southampton,10.868421052631579,3.473684210526316,18.226315789473684,0.4473684210526316,0.05263157894736842,0.10526315789473684,0.9473684210526315,1.9210526315789473,0.9973684210526316,1.6026315789473682,44.526315789473685,7.947368421052632,24.68421052631579,6.2894736842105265,1.868421052631579,0.0,128.39473684210526,18.736842105263158,18.894736842105264,1.0,2022,25,0.6578947368421053,29.605263157894736,15.473684210526315
0,Manchester City,17.973684210526315,6.947368421052632,16.650000000000002,0.6578947368421053,0.23684210526315788,0.2631578947368421,2.526315789473684,0.8947368421052632,2.121052631578948,0.9315789473684211,65.21052631578948,14.342105263157896,49.73684210526316,12.736842105263158,1.7105263157894737,0.0,270.0,38.578947368421055,33.13157894736842,2.236842105263158,2023,91,2.3947368421052633,54.21052631578947,29.657894736842106
1,Arsenal,17.026315789473685,5.5,15.852631578947365,0.15789473684210525,0.2631578947368421,0.2631578947368421,2.3947368421052633,0.7631578947368421,2.0078947368421054,0.7315789473684212,58.18421052631579,13.5,40.68421052631579,14.421052631578947,1.7894736842105263,0.0,225.26315789473685,38.94736842105263,31.18421052631579,2.736842105263158,2023,89,2.3421052631578947,55.421052631578945,21.605263157894736
2,Liverpool,20.55263157894737,6.921052631578948,17.326315789473682,0.47368421052631576,0.15789473684210525,0.23684210526315788,2.263157894736842,1.0789473684210527,2.3105263157894735,1.205263157894737,61.26315789473684,15.736842105263158,43.8421052631579,13.31578947368421,2.1052631578947367,0.0,207.07894736842104,37.421052631578945,36.526315789473685,2.6842105263157894,2023,82,2.1578947368421053,55.526315789473685,24.31578947368421
3,Aston Villa,13.447368421052632,4.7894736842105265,16.05,0.39473684210526316,0.10526315789473684,0.10526315789473684,2.0,1.605263157894737,1.6710526315789473,1.5789473684210527,53.10526315789474,10.473684210526315,30.526315789473685,9.552631578947368,1.763157894736842,0.0,143.6578947368421,26.57894736842105,24.0,2.1052631578947367,2023,68,1.7894736842105263,38.18421052631579,20.394736842105264
4,Tottenham Hotspur,15.31578947368421,5.447368421052632,16.657894736842103,0.2894736842105263,0.05263157894736842,0.05263157894736842,1.9473684210526316,1.605263157894737,1.7894736842105263,1.6710526315789473,61.578947368421055,12.105263157894736,41.78947368421053,11.947368421052632,1.7105263157894737,0.0,210.81578947368422,34.63157894736842,27.710526315789473,2.3947368421052633,2023,66,1.736842105263158,55.44736842105263,25.18421052631579
5,Chelsea,14.131578947368421,5.105263157894737,17.194736842105264,0.5789473684210527,0.2894736842105263,0.3157894736842105,2.026315789473684,1.6578947368421053,1.9605263157894732,1.5342105263157897,58.60526315789474,11.026315789473685,35.55263157894737,9.263157894736842,1.3421052631578947,0.0,172.57894736842104,27.342105263157894,25.789473684210527,3.0526315789473686,2023,63,1.6578947368421053,42.5,22.973684210526315
6,Newcastle United,14.263157894736842,5.157894736842105,15.768421052631581,0.23684210526315788,0.21052631578947367,0.23684210526315788,2.236842105263158,1.631578947368421,2.0026315789473688,1.6184210526315788,52.21052631578947,11.157894736842104,29.13157894736842,10.0,2.0,0.0,158.0,28.789473684210527,25.86842105263158,2.236842105263158,2023,60,1.5789473684210527,40.973684210526315,19.394736842105264
7,Manchester United,14.289473684210526,4.7894736842105265,17.439473684210526,0.39473684210526316,0.15789473684210525,0.18421052631578946,1.5,1.5263157894736843,1.489473684210526,1.8131578947368423,50.578947368421055,11.421052631578947,31.63157894736842,8.894736842105264,1.3157894736842106,0.0,161.71052631578948,26.973684210526315,26.026315789473685,1.9210526315789473,2023,60,1.5789473684210527,38.921052631578945,19.973684210526315
8,West Ham United,11.710526315789474,3.8421052631578947,16.03421052631579,0.4473684210526316,0.10526315789473684,0.13157894736842105,1.5789473684210527,1.9473684210526316,1.381578947368421,1.8763157894736842,41.10526315789474,8.026315789473685,25.763157894736842,5.921052631578948,1.868421052631579,0.0,123.47368421052632,19.736842105263158,20.57894736842105,1.5789473684210527,2023,52,1.368421052631579,31.763157894736842,14.631578947368421
9,Crystal Palace,11.894736842105264,4.2631578947368425,17.094736842105267,0.5263157894736842,0.10526315789473684,0.10526315789473684,1.5,1.5263157894736843,1.281578947368421,1.3736842105263156,42.28947368421053,9.289473684210526,26.18421052631579,7.184210526315789,1.5789473684210527,0.0,133.60526315789474,20.973684210526315,20.894736842105264,1.368421052631579,2023,49,1.2894736842105263,30.94736842105263,13.31578947368421
10,Brighton and Hove Albion,14.605263157894736,5.2105263157894735,16.568421052631578,0.2894736842105263,0.13157894736842105,0.15789473684210525,1.4473684210526316,1.631578947368421,1.4894736842105263,1.4657894736842103,59.8421052631579,11.289473684210526,39.05263157894737,10.105263157894736,2.1315789473684212,0.0,178.05263157894737,28.44736842105263,26.57894736842105,1.631578947368421,2023,48,1.263157894736842,46.8421052631579,22.736842105263158
11,Bournemouth,14.18421052631579,4.605263157894737,16.663157894736845,0.47368421052631576,0.05263157894736842,0.07894736842105263,1.4210526315789473,1.763157894736842,1.4736842105263157,1.5289473684210526,44.39473684210526,10.894736842105264,28.263157894736842,9.263157894736842,2.3157894736842106,0.0,149.6315789473684,27.18421052631579,25.05263157894737,1.263157894736842,2023,48,1.263157894736842,34.578947368421055,18.657894736842106
12,Fulham,13.131578947368421,4.605263157894737,16.894736842105264,0.3684210526315789,0.05263157894736842,0.05263157894736842,1.4473684210526316,1.605263157894737,1.336842105263158,1.6578947368421053,50.60526315789474,9.973684210526315,29.394736842105264,9.342105263157896,2.473684210526316,0.0,146.52631578947367,22.342105263157894,23.07894736842105,1.5263157894736843,2023,47,1.236842105263158,38.60526315789474,17.63157894736842
13,Wolverhampton Wanderers,11.18421052631579,4.026315789473684,16.223684210526315,0.3157894736842105,0.10526315789473684,0.10526315789473684,1.3157894736842106,1.7105263157894737,1.236842105263158,1.7815789473684216,48.86842105263158,8.31578947368421,23.94736842105263,6.2894736842105265,1.605263157894737,0.0,126.42105263157895,19.44736842105263,19.55263157894737,1.2894736842105263,2023,46,1.2105263157894737,31.05263157894737,17.657894736842106
14,Everton,13.263157894736842,4.0,17.215789473684215,0.3684210526315789,0.05263157894736842,0.07894736842105263,1.0526315789473684,1.3421052631578947,1.407894736842105,1.4552631578947368,40.8421052631579,8.921052631578947,25.210526315789473,7.473684210526316,2.026315789473684,0.0,139.02631578947367,21.289473684210527,22.473684210526315,1.1842105263157894,2023,48,1.263157894736842,29.710526315789473,13.026315789473685
15,Brentford,12.368421052631579,4.184210526315789,15.628947368421056,0.4473684210526316,0.07894736842105263,0.07894736842105263,1.4736842105263157,1.7105263157894737,1.5315789473684214,1.4736842105263157,45.1578947368421,8.736842105263158,25.394736842105264,8.763157894736842,2.789473684210526,0.0,137.10526315789474,25.842105263157894,21.157894736842106,1.8421052631578947,2023,39,1.0263157894736843,33.76315789473684,13.289473684210526
16,Nottingham Forest,11.842105263157896,3.763157894736842,17.302631578947373,0.18421052631578946,0.02631578947368421,0.02631578947368421,1.2894736842105263,1.763157894736842,1.3157894736842106,1.4000000000000001,40.578947368421055,8.552631578947368,23.81578947368421,6.421052631578948,1.605263157894737,0.0,123.3157894736842,20.657894736842106,20.605263157894736,1.394736842105263,2023,36,0.9473684210526315,30.0,15.894736842105264
17,Luton Town,11.236842105263158,3.526315789473684,16.157894736842103,0.2894736842105263,0.13157894736842105,0.13157894736842105,1.368421052631579,2.236842105263158,1.1131578947368421,2.047368421052632,42.36842105263158,8.289473684210526,21.973684210526315,6.578947368421052,2.3684210526315788,0.0,130.6315789473684,20.526315789473685,19.710526315789473,0.5789473684210527,2023,26,0.6842105263157895,29.289473684210527,17.763157894736842
